Bandwidth,Average Throughput (Mbps),Packet Loss Rate (%)
1000,166.62,0.00
1000,159.66,0.00
1000,189.28,0.00
1000,196.49,0.00
1000,252.90,0.00
1000,139.25,0.00
1000,262.27,0.00
1000,252.16,0.00
1000,257.32,0.00
1000,147.95,0.00
1000,264.12,0.00
1000,224.59,0.00
1000,125.50,0.00
1000,267.62,0.00
1000,154.68,0.00
1000,222.68,0.00
1000,175.70,0.00
1000,237.66,0.00
1000,283.81,0.00
1000,215.71,0.00
1000,160.05,0.00
1000,135.12,0.00
1000,206.36,0.00
1000,133.07,0.00
1000,209.37,0.00
1000,171.44,0.00
1000,302.05,0.00
1000,254.01,0.00
