Number,Client Address,Throughput (Mbps),Packet Loss Rate (%)
1,10.0.13.240,2.20,0.03
2,10.0.9.98,2.24,0.02
3,10.0.3.168,2.25,0.02
4,10.0.8.2,2.17,0.02
5,10.0.4.162,2.23,0.02
6,10.0.19.25,2.22,0.02
7,10.0.13.253,2.29,0.02
8,10.0.1.7,2.22,0.02
9,10.0.19.23,2.23,0.02
10,10.0.6.0,2.30,0.03
11,10.0.5.252,2.27,0.02
12,10.0.19.22,2.25,0.02
13,10.0.1.6,2.17,0.02
14,10.0.3.165,2.27,0.02
15,10.0.16.71,2.19,0.02
16,10.0.18.25,2.25,0.02
17,10.0.17.192,2.26,0.03
18,10.0.7.166,2.16,0.01
19,10.0.19.20,2.26,0.01
20,10.0.3.143,2.22,0.02
21,10.0.18.28,2.19,0.01
22,10.0.19.19,2.27,0.03
23,10.0.4.175,2.21,0.01
24,10.0.11.250,2.25,0.02
25,10.0.3.246,2.23,0.02
26,10.0.19.21,2.22,0.02
27,10.0.16.67,2.33,0.02
28,10.0.4.174,2.22,0.01
