Bandwidth,Average Throughput (Mbps),Packet Loss Rate (%)
1000,240.56,0.00
1000,213.75,0.00
1000,204.63,0.00
1000,141.23,0.00
1000,235.53,0.00
1000,205.98,0.00
1000,229.05,0.00
1000,279.03,0.00
1000,234.64,0.00
1000,228.17,0.00
1000,171.93,0.00
1000,198.94,0.00
1000,169.62,0.00
1000,211.62,0.00
1000,162.93,0.00
1000,229.68,0.00
1000,184.43,0.00
1000,168.65,0.00
1000,268.32,0.00
1000,185.11,0.00
1000,215.25,0.00
1000,238.81,0.00
1000,280.51,0.00
1000,175.55,0.00
1000,182.65,0.00
1000,214.41,0.00
1000,161.00,0.00
1000,159.61,0.00
